curve_name,tenor,rate
usd_gov,1,0.027
usd_gov,3,0.01
usd_gov,6,0.02
usd_gov,12,0.03
usd_gov,24,0.04
usd_fx,0.0,0.07
usd_fx,0.25,0.07
usd_fx,0.5,0.071
usd_fx,0.75,0.072
usd_fx,1.0,0.073
usd_fx,2.0,0.074
usd_fx,3.0,0.075
usd_fx,6.0,0.076
usd_fx,9.0,0.077
usd_fx,12.0,0.095
usd_fx,24.0,0.097
24,usd_govt_fwd,0.025
25,usd_govt_fwd,0.025
26,usd_govt_fwd,0.025
27,usd_govt_fwd,0.025
28,usd_govt_fwd,0.025
29,usd_govt_fwd,0.025
30,usd_govt_fwd,0.025
31,usd_govt_fwd,0.025
32,usd_govt_fwd,0.025
33,usd_govt_fwd,0.025
34,usd_govt_fwd,0.025
35,usd_govt_fwd,0.025
36,usd_govt_fwd,0.048
37,usd_govt_fwd,0.048
38,usd_govt_fwd,0.048
39,usd_govt_fwd,0.048
40,usd_govt_fwd,0.048
41,usd_govt_fwd,0.048
42,usd_govt_fwd,0.048
43,usd_govt_fwd,0.048
44,usd_govt_fwd,0.048
45,usd_govt_fwd,0.048
46,usd_govt_fwd,0.048
47,usd_govt_fwd,0.048
48,usd_govt_fwd,0.048
49,usd_govt_fwd,0.048
50,usd_govt_fwd,0.048
51,usd_govt_fwd,0.048
52,usd_govt_fwd,0.048
53,usd_govt_fwd,0.048
54,usd_govt_fwd,0.048
55,usd_govt_fwd,0.048
56,usd_govt_fwd,0.048
57,usd_govt_fwd,0.048
58,usd_govt_fwd,0.048
59,usd_govt_fwd,0.048
60,usd_govt_fwd,0.048
